"alg","N","ub","lb","n","d","seed","totaltime","max_particles","tot_particles","scoretype","am","aw","chi","edgepf"
"dnc",300,1,0.25,30,0.5,17,0.020999999999999,"4","36","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,17,0.753023,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,18,0.0180000000000007,"2","32","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,18,0.715059,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,19,0.0169999999999995,"4","35","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,19,1.072043,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,20,0.0189999999999984,"3","33","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,20,0.727252,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,21,0.0220000000000002,"2","31","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,21,0.789005,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,22,0.0309999999999988,"11","62","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,22,0.848283,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,23,0.0189999999999984,"3","33","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,23,0.870159,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,24,0.0159999999999982,"3","41","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,24,0.674538,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,25,0.0179999999999989,"5","38","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,25,1.069795,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,26,0.0219999999999985,"27","120","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,26,1.455457,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,27,0.0199999999999996,"7","53","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,27,1.147835,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,28,0.022000000000002,"10","57","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,28,0.709665,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,29,0.0179999999999989,"6","43","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,29,0.831477,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0.5,30,0.0190000000000019,"6","45","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0.5,30,1.031432,"NULL","NULL","bge",0.1,"NULL",0.5,2
